nama_cabang,nama_pelanggan,rating,tanggal_ulasan,teks_komentar
Mie Gacoan - Kenjeran,05_Alief Hafshah Ilmiawan,5,seminggu lalu,Pelayananya memuaskan
Mie Gacoan - Kenjeran,Puspa Asri,5,seminggu lalu,"Pelayanannya mantap, pemesanannya cepat mantap"
Mie Gacoan - Kenjeran,Elsky Gun,1,2 minggu lalu,"Tidak mau membersihkan meja bekas orang, sudah diinformasikan ke petugas 2 kali tetep saja tidak ada yang menghampiri, akhirnya kita sendiri yang membersihkan, bukan masalah pindah tempat atau gimana, kita rame otomatis pilih meja yang luas …"
Mie Gacoan - Kenjeran,Muhammad Nurul Mustofa,1,2 minggu lalu,"Clener up-nya kurang cekatan dan sangat lambat membersihkan nya....
Yang tidak ada orangnya malah dibersihkan dulu
Padahal kami pesanan kami sudah siap... Tinggal dibersihkan mejannya sudah …"
Mie Gacoan - Kenjeran,Ima Siska,5,2 minggu lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Yunita Sari,5,2 minggu lalu,"Tempat nya nyaman gk antri, bersih. Makan enak"
Mie Gacoan - Kenjeran,viaa,1,2 minggu lalu,"jorok, meja tidak di bersihkan secara cepat"
Mie Gacoan - Kenjeran,M Lutfillah,1,3 minggu lalu,Pesanan nya lama banget
Mie Gacoan - Kenjeran,Precious Metal,1,3 minggu lalu,"Pelayanan kasir ruwet, udah lama antri cari meja kosong pas dikasir uang jelek atau tidak layaklah. Pesan meja kosong barcode amburadul, sudah capek"" cari meja kosong malah dipakai orang karna barcode sama! Hmzzz."
Mie Gacoan - Kenjeran,Yayuk Setia hartini,1,3 minggu lalu,"Pelayanan lemooot lama banget alias LELET pegawainya
Padahal sepi
Menunggu sampai 30 menit"
Mie Gacoan - Kenjeran,HOIRUL ANAM,5,3 minggu lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,sas sas,5,3 minggu lalu,saran meja nya dikasih pijakan kaki kakkk
Mie Gacoan - Kenjeran,Samsul Arifin,5,3 minggu lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Ali_ Ridho,1,3 minggu lalu,Parahhh gada aernyaa mana pen beol lagii kaciwwwwww 😭😭 …
Mie Gacoan - Kenjeran,Najwa Najwa027,1,3 minggu lalu,"Di larang duduk di belakang , padahal meja depan masih kotor dan full , masak iya pembeli di suruh di duduk di tempat kotor"
Mie Gacoan - Kenjeran,Ali_ Ridho,1,3 minggu lalu,Parahhh gada aernyaa mana pen beol lagii kaciwwwwww 😭😭
Mie Gacoan - Kenjeran,Bintang Fajar Anugrah,1,3 minggu lalu,minimal maximal nampan dilap
Mie Gacoan - Kenjeran,Cana Putri,1,3 minggu lalu,PELAYANAN KURANG BAGUS MASA DI TUNGGAL BELI STEROFOAM DI KASIR EH DI BERSIHIN DONG MEJANYA:(
Mie Gacoan - Kenjeran,Alfarisi Faris,5,3 minggu lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Sayyinah Laila,5,3 minggu lalu,Pelayanan cepat dan sangat enak
Mie Gacoan - Kenjeran,Kak Tarun,5,3 minggu lalu,Pelayanan cepat dan sangat enak
Mie Gacoan - Kenjeran,Sang Pengagum Cinta,1,3 minggu lalu,KLO lebaran tutup bos
Mie Gacoan - Kenjeran,ria bhawel,5,3 minggu lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Nofi Reviliasari,5,3 minggu lalu,Pelayanan cepat dan enak
Mie Gacoan - Kenjeran,Nofi Reviliasari,5,3 minggu lalu,Pelayanan cepat dan sangat enak
Mie Gacoan - Kenjeran,Feri Irawan,5,3 minggu lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Dava Muham,5,3 minggu lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Aliyatus Syarifa,5,3 minggu lalu,makanannyaa enakk bngttt bngtt bngtt pokoknya bestt dehh
Mie Gacoan - Kenjeran,Feri Irawan,5,3 minggu lalu,Pelayan cepet
Mie Gacoan - Kenjeran,Muhammah Nur azizi,1,4 minggu lalu,Kentang gorengnya dingin.
Mie Gacoan - Kenjeran,Arya Pratama,5,4 minggu lalu,Bagus
Mie Gacoan - Kenjeran,Mochammad irfan Sahid,2,sebulan lalu,"Makanan enak, penyajian cepat, harga bersahabat, tapi Air toilet habis, toilet kotor, air untuk wudhu habis 😥 …"
Mie Gacoan - Kenjeran,Imagine Dream,1,sebulan lalu,"Pelayanan buruk, menunggu 1 jam tidak ada kepastian, malah menyalahkan sistem , sungguh terbaik🙏🏻 …"
Mie Gacoan - Kenjeran,Arief Satrio Ujianto,1,sebulan lalu,Tolong yg bner kalo ngasih dliat lagi pesenannya lvl brapa saya pesen mie gacoan 2 lvl1 smua malah dksih lvl2 smua kalo gini siapa yg makan ini buat orangtua malah dksih lvl2 saya pesen lvl1 smua tolong benahi lagi mau itu rame atau sepi namanya kerja hrus teliti.
Mie Gacoan - Kenjeran,rio wiko,1,sebulan lalu,Nunggu 1 jam lebih
Mie Gacoan - Kenjeran,Wildan ihsan prambudi,1,Diedit sebulan lalu,GA JELASS KALO EMG 24 jam ga usah di balik kursi di atas meja sekaan” kyk mau ngusir kalo emg ga boleh yaudah bilang
Mie Gacoan - Kenjeran,Nikkita Diva,1,sebulan lalu,BINTANG 1 UDA LAMA BGT PELAYANANNYA DAN GA RAMAH SAMA SEKALI MBAK MBAK NYA
Mie Gacoan - Kenjeran,Tepen,1,sebulan lalu,"ini ke2 kali nya saya pesan gacoan lewat grab salah menu, saya order ""mie gacoan"", yang datang ""mie hopimpa""."
Mie Gacoan - Kenjeran,R. Tom,1,sebulan lalu,"Untuk tempatnya sih worth it.
Tapi untuk kebersihan,dan sisa makan orang.tidak segera dibersihkan.
Jadi kalo mau nyari tempat,harus mindahin sendiri  sisa makan orang."
Mie Gacoan - Kenjeran,Dhenanda Rudi,5,sebulan lalu,Suasana nyaman... Staffnya ramah sekali..
Mie Gacoan - Kenjeran,Rizqi Harun Al Rosyid,1,sebulan lalu,pelayanan lama nunggu setengah jam lebih ga jadi” untuk kecepatan bisa di tingkatkan lagi🙏🏻 …
Mie Gacoan - Kenjeran,ichsan gunawan,5,sebulan lalu,Pelayanan cepat dan enak meskipun rame tetap konsisten service nyaaaa
Mie Gacoan - Kenjeran,Ichsan Gunawan,5,sebulan lalu,Pelayaan cepat dan satset engga menunggu lamaa
Mie Gacoan - Kenjeran,Ririn Sabrina,5,sebulan lalu,Pelayanan cepat dan enak
Mie Gacoan - Kenjeran,Sabrina Yusrin,5,sebulan lalu,Pelayan cepat dan mudah enak
Mie Gacoan - Kenjeran,Hafdhoh An Nazil,5,sebulan lalu,rekomendasi
Mie Gacoan - Kenjeran,Reza Amelia Kristanti,2,Diedit sebulan lalu,LAMA BANGETT DATENGNYAA PLISS :))
Mie Gacoan - Kenjeran,Diaz Romanov,5,sebulan lalu,"pelayanan cepat, kasir ramah"
Mie Gacoan - Kenjeran,Noor Shania,1,sebulan lalu,"tidak efisien, katanya harus menunggu 30 menit tapi sampai 1 jam belum selesai. jika memang tidak sanggup harusnya tolak dari awal, agar pembeli tidak kecewa."
Mie Gacoan - Kenjeran,Fatur Rohman,1,sebulan lalu,"Pelayanan sangat luamaa bangett di PO saya mesen menit 22.52 dan makanan baru dateng jam 00:00 sangat kecewa dan yang saya pesan gacoan lv 3 nya 2 tapi yang dateng gacoan lv 3 sama hompimpa lv 1, hadehhh"
Mie Gacoan - Kenjeran,Alfu Iza,1,sebulan lalu,"Nunggu hampir satu jam lebih g selesai selesai mana g kebagian tempat duduk
Anjir cukup kali ini aja ke gacoan"
Mie Gacoan - Kenjeran,Hasan Nurdiansyah,1,sebulan lalu,"karyawan kurang ajar,ngerosting saya, kebersihan juga tidak jaga."
Mie Gacoan - Kenjeran,Rizka Widyani,1,sebulan lalu,"Order dari jam 21:39 sampe 22:50 pesanan belum dipanggil
Gatau dah yg lemot apanya, perasaan karyawannya pada gedebak gedebuk semua"
Mie Gacoan - Kenjeran,Ibnu Hafiz Maulana_12,5,sebulan lalu,"Tempat lumayan strategis, pelayanan oke, terus berikan kinerja terbaik"
Mie Gacoan - Kenjeran,RENDY MAULANA PUTRA,5,sebulan lalu,enakk
Mie Gacoan - Kenjeran,Putri Khusnul,5,sebulan lalu,pelayanannya baik dan ramah👍 …
Mie Gacoan - Kenjeran,Varanitaa Aprl,5,sebulan lalu,Mantap
Mie Gacoan - Kenjeran,Fuk San,1,sebulan lalu,"Pelayanan Buruk
Saya Parkir motor Bayar pakai uang 10rb
Di kasih kembalian 5rb …"
Mie Gacoan - Kenjeran,Putri Khusnul,5,sebulan lalu,pelayanannya baik dan ramah👍
Mie Gacoan - Kenjeran,Fuk San,1,sebulan lalu,"Pelayanan Buruk
Saya Parkir motor Bayar pakai uang 10rb
Di kasih kembalian 5rb

Jukir e praen Duro sak ngomong e duro
Sorry gak tak foto tpi ini Fakta dan aku gak Mbujuk..

Gak tak baleni mane mrono kecewa ga kiro barokah Kalian smua"
Mie Gacoan - Kenjeran,24-164 Achmad Jihad Fisabilillah,1,sebulan lalu,"nunggu lama di cancel , kelas brok"
Mie Gacoan - Kenjeran,24-164 ACHMAD JIHAD FISABILILLAH,1,sebulan lalu,"nunggu lama di cancel , kelas brok"
Mie Gacoan - Kenjeran,Ema Nur Halimah,5,sebulan lalu,"Kayaknya ini jadi resto mie gacoan yg paling enak rasanya dibanding cabang lain. Pelayanan ramah dan termasuk cepat, tempatnya juga bersih.
Cuma bintang 0 buat tukang parkirnya udah parkir sendiri, kalo panas jok motor …"
Mie Gacoan - Kenjeran,HERI,5,sebulan lalu,Enak👌 …
Mie Gacoan - Kenjeran,108_Zainal Abidin,5,sebulan lalu,untuk mie nya rasanya berbeda dari biasanya lebih enak yg sebelumnya
Mie Gacoan - Kenjeran,Achmad Husein,5,sebulan lalu,Pelayanannya cepat dan rasanya enak
Mie Gacoan - Kenjeran,multazam ali,5,sebulan lalu,"pelayanan nya sangat baik dan cepat, kualitas makanan nya juga sangat bagus dan bersih"
Mie Gacoan - Kenjeran,Arizal Rahman,5,sebulan lalu,Pelayaanan cepat dan enak sekalii
Mie Gacoan - Kenjeran,Arizal Prominent,5,sebulan lalu,Pelayaann cepat dan enak
Mie Gacoan - Kenjeran,Arizal Rahman,5,sebulan lalu,Pelayaanan cepat dan tempatnya sangat luas cocok buat reservasi kapasitas besar
Mie Gacoan - Kenjeran,HERI,5,sebulan lalu,Enak👌
Mie Gacoan - Kenjeran,Veranza Jasminee,5,sebulan lalu,tempathya yang cukup luas bisa menampung semua kapasitas reservasi
Mie Gacoan - Kenjeran,Veranza Jasmine,5,sebulan lalu,pelayaann cepat
Mie Gacoan - Kenjeran,Rifangga_ 15,5,sebulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,muhammad gufron,2,sebulan lalu,Pelayan lama
Mie Gacoan - Kenjeran,Jancokkk Asu,2,sebulan lalu,Pelayan kurang satset
Mie Gacoan - Kenjeran,Dealucky Jerikho,5,sebulan lalu,enak&lezat
Mie Gacoan - Kenjeran,Yasmin salim syamlan,5,sebulan lalu,Tempat nyaman bagus
Mie Gacoan - Kenjeran,Reyvan Nur,5,sebulan lalu,Pelayanan baik enak
Mie Gacoan - Kenjeran,"Fajar Satriyawan Wahyudi, S.H",1,sebulan lalu,Pelayanan Lambat Gacoan nya
Mie Gacoan - Kenjeran,Cylvi Julia ramadhani,5,sebulan lalu,cantik
Mie Gacoan - Kenjeran,Husnul Hotimah,5,sebulan lalu,"Pelayanan nya baik,bantu gw pesen"
Mie Gacoan - Kenjeran,Kevin Fernando Kurniawan,5,sebulan lalu,pelayanannya bagus
Mie Gacoan - Kenjeran,Ahmad Jhoken,5,sebulan lalu,"Tempatnya nyaman,pelayanannyavbaik"
Mie Gacoan - Kenjeran,Aura Maharani,4,sebulan lalu,Halo ini gimana ya kalau mau reservasi
Mie Gacoan - Kenjeran,Zainul Musthofa 99,5,sebulan lalu,Makasih kk lisaa sudah membantu saya memesan🥰 …
Mie Gacoan - Kenjeran,Mareta Ardelia,5,sebulan lalu,Nyaman
Mie Gacoan - Kenjeran,Zainul Musthofa 99,5,sebulan lalu,Makasih kk lisaa sudah membantu saya memesan🥰
Mie Gacoan - Kenjeran,audiawan alodiawahdania,5,sebulan lalu,nyaman banget aku sukaaa
Mie Gacoan - Kenjeran,Alena Helmiana,5,sebulan lalu,"enak, bagus, besar"
Mie Gacoan - Kenjeran,Rochman Andreas21,2,sebulan lalu,"Izin memberi pemasukan lain kali team SS lebih di check lagi produknya sebelum di berikan customer ,masa es teh saya ada plastiknya"
Mie Gacoan - Kenjeran,Fardhan Maulana Andromeda09,5,sebulan lalu,mantaps
Mie Gacoan - Kenjeran,Irene Andara,5,sebulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Agatha Official Channel,5,sebulan lalu,Pesen udang rambutan.. Dikirim udang keju... Tpi gk masalah... Semua aman.. Rasa tetep enak.. Pelayanan juga bagus.
Mie Gacoan - Kenjeran,Irfan Efendi,5,Diedit sebulan lalu,Baguss
Mie Gacoan - Kenjeran,OTONG CELL,1,sebulan lalu,Beli KL MLM hari level 4 GK ada bedanya sama pernah beli level 2 kadang Mala msh pedas yg level 2
Mie Gacoan - Kenjeran,Fahril,5,sebulan lalu,nyaman bangettt
Mie Gacoan - Kenjeran,Hasan Busri,5,sebulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,liep san,5,sebulan lalu,Mie enak . Dimsum enak. Minuman enak. Harga terjangkau. Pelayanan ramah dan cepat. Recommended 👍 …
Mie Gacoan - Kenjeran,Ani Lestari,5,sebulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Ajeng Ratna,5,sebulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Alina Ayu Azzahra,5,sebulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Aurellia Aurel,5,sebulan lalu,enak teman nya bagus nyaman
Mie Gacoan - Kenjeran,Danis D,5,2 bulan lalu,peleyanan cepat
Mie Gacoan - Kenjeran,niken octaa,5,2 bulan lalu,pelayanan bagus
Mie Gacoan - Kenjeran,Aulia Rokhmaniah,5,2 bulan lalu,"untuk pelayanan sangat oke dan penyajiannya juga tidak lambat, makanan sesuai yg diinginkan"
Mie Gacoan - Kenjeran,Widya Dita,5,2 bulan lalu,enak
Mie Gacoan - Kenjeran,Sonia Maulaya,5,2 bulan lalu,"Tempatnya baguss, estetik dan mas² nya ramah bgttttttt"
Mie Gacoan - Kenjeran,Tuan Hadi,1,2 bulan lalu,"Kecewa sih jujur sama peLayanan di Mie Gacoan , Tempatnya basah dan kurang nyaman , ditambah Lagi parkir motor yang di struk jeLas tertuLis Rp2.000 tapi diminta Rp3.000. Semoga ke depannya bisa Lebih diperhatikan Lagi kenyamanan dan kejujuran daLam peLayanan"
Mie Gacoan - Kenjeran,Alaika sadarul,5,Diedit 2 bulan lalu,Bagus
Mie Gacoan - Kenjeran,Sutrisno Haris,5,2 bulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Vanezza,5,2 bulan lalu,enak
Mie Gacoan - Kenjeran,Raisya K. A.,5,2 bulan lalu,Bagus sekali 😍 …
Mie Gacoan - Kenjeran,Eko Wibowo,5,2 bulan lalu,"tempatnya bersih, makanannya enak dan pelayanannya tidak ada yg mengecewakan"
Mie Gacoan - Kenjeran,Aries Santana,5,2 bulan lalu,"Lingkungannya bersih, Makanannya sesuai dengan foto menu dan rasanya enak"
Mie Gacoan - Kenjeran,Sasha Cantikk,5,2 bulan lalu,Pelwyanan cepat
Mie Gacoan - Kenjeran,ferry nius,5,2 bulan lalu,Pelayanan cepat dan sangat enak
Mie Gacoan - Kenjeran,Mustofa 69,5,2 bulan lalu,"Pelayanan sangat baik, ramah untuk"
Mie Gacoan - Kenjeran,dita oktafianto,3,2 bulan lalu,"Pangsit Lembek,over stock di kitchen sepertinya..mie dingin pada saat penyajian"
Mie Gacoan - Kenjeran,Mienanto Wong Joyo,1,2 bulan lalu,Pesanan terlalu lama 2 jam baru diproses....
Mie Gacoan - Kenjeran,fairus naila,5,2 bulan lalu,"tempatnya nyaman, makanannya enak"
Mie Gacoan - Kenjeran,cahyaaa ya,5,2 bulan lalu,"pelayanan ramah, tempat nya bersih"
Mie Gacoan - Kenjeran,SHEFFA DOHC,5,2 bulan lalu,Enak suasanya pas tenang pelayanan cepat juga
Mie Gacoan - Kenjeran,Robi,5,2 bulan lalu,mantap
Mie Gacoan - Kenjeran,krisna,3,2 bulan lalu,Sekarang cukup sepi. Ternyata alasannya karena petugas parkirnya tidak sopan. Mereka meminta uang tetapi tidak punya tiket parkir.
Mie Gacoan - Kenjeran,riri,2,2 bulan lalu,"Pesen dari online, rasanya beda ga sama kek terakhir aku beli langsung ditempat, pesen mi gacoan rasa mi hompimpa kurang kecap dan rasanya kek b aja, padahal biasanya enak"
Mie Gacoan - Kenjeran,Bagus Andika Wardana,5,2 bulan lalu,Pelayanan cepat nunggu maksimal 15 menit enak
Mie Gacoan - Kenjeran,Nurul Ekajayanti,5,2 bulan lalu,"Hmm wenak poll, wajib ke gacoan 1 sih, pelayanannya mantap"
Mie Gacoan - Kenjeran,AHAMD ZUBAIR FIRMANSYAH,5,2 bulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Afifah Sahara,5,2 bulan lalu,Pelayanan enak
Mie Gacoan - Kenjeran,Ahmad zubair Firmansyah,5,2 bulan lalu,Enak
Mie Gacoan - Kenjeran,uswatun hasanah,5,2 bulan lalu,"tempatnya bersih, nyaman, pelayanan juga ramah.
untuk makanannya enak, lebih sering order mie gacoan daripada hompimpa hehe, soalnya gasuka kalo gaada kecapnya. untuk gorengan semua udah pernah cobaa enak …"
Mie Gacoan - Kenjeran,Dwi Putri,5,2 bulan lalu,Nyaman
Mie Gacoan - Kenjeran,Cherrly wijaya,5,2 bulan lalu,tempatnya sangat nyaman dan waiters nya sangat ramah sehingga pengunjung merasa nyaman
Mie Gacoan - Kenjeran,Dwi Mawar,5,2 bulan lalu,kakak nya ramah dan lucu
Mie Gacoan - Kenjeran,Nurul Faridah,5,2 bulan lalu,Suka banget
Mie Gacoan - Kenjeran,Zainal Arifin,5,2 bulan lalu,Terbaik
Mie Gacoan - Kenjeran,Syahrul ramadhan,2,2 bulan lalu,"Coba di cek lagi itu milonya, saya abis minum milo kok perut saya ngga enak, diare, muntah-muntah"
Mie Gacoan - Kenjeran,MARIA,5,2 bulan lalu,"Ga natri lama, nyaman, cepet selesai pensanannya"
Mie Gacoan - Kenjeran,Davine Felix dan Michelle,5,2 bulan lalu,Enakkkkk cui
Mie Gacoan - Kenjeran,Imam AFC,5,2 bulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Muhammad Irfan,5,2 bulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Aziz Boybolang,5,2 bulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Yuliatin,5,2 bulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,UUN MARDIANA,5,2 bulan lalu,pelayanan cepat
Mie Gacoan - Kenjeran,adrian maulana fikri,5,2 bulan lalu,memuaskan
Mie Gacoan - Kenjeran,Maulidina Ayu P,5,2 bulan lalu,"Masya Allah cs nyaaa ramah sekali, best komunikasinya, kalo ngomong bikin orang nyaman, harum, gacoan sini sudah bisa pesan lewat scan barcode dan ga perlu antri lagi, mantappppp gacoan kenjeran semakin maju"
Mie Gacoan - Kenjeran,Ariesty Pinastika,5,2 bulan lalu,Untuk pemesanan cepat dan sesuai
Mie Gacoan - Kenjeran,Ridho Isha,5,2 bulan lalu,"Pelayanan cepat, bersih juga. overall good"
Mie Gacoan - Kenjeran,Wawan,1,2 bulan lalu,Tidak ada area khusus perokok. Jadi mau ga mau harus nerima asap perokok disebelah kursi. Merokok bisa dimana saja ga ada larangan.
Mie Gacoan - Kenjeran,Aulya Fridayanti,5,2 bulan lalu,Pelayanan ramah
Mie Gacoan - Kenjeran,Verdi Sasmeka,5,2 bulan lalu,Bagus
Mie Gacoan - Kenjeran,Diyah nurhasanah,5,2 bulan lalu,Mie gacoan paling enak cuma yg di kenjeran ajaaa si
Mie Gacoan - Kenjeran,Moh Sofiyan,3,2 bulan lalu,"Pelayanannya sangat lama, saya sudah pesen daritadi udah disamperin katanya pesenan nya blm tapi alarm bunyi lagi ternyata udah dari tadi sampe mie sama dimsum nya dingin"
Mie Gacoan - Kenjeran,anwar musaddad,5,2 bulan lalu,"pelayanan baikk,dan untuk tempatnya bersih'"
Mie Gacoan - Kenjeran,Cecilia Caresa putri,5,2 bulan lalu,ENAKKK BANGETTT
Mie Gacoan - Kenjeran,Sulis wahyuningsih,5,2 bulan lalu,Pesanannya cepat di proses dan karyawan nya sangat ramah
Mie Gacoan - Kenjeran,Maria Magdalena,5,2 bulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Mahrufa Bagus,5,2 bulan lalu,Memuaskan dari segi pelayanan dan makanan
Mie Gacoan - Kenjeran,Syifa Azzahra,5,2 bulan lalu,pelayanan cepat
Mie Gacoan - Kenjeran,Pratama,1,2 bulan lalu,"Mie terlalu lembek rasa tidak karuan, over ke minyak, dimsum jg sama saya pesan udang keju dan siomay, parah bgt rasanya terlalu matang semua jadi lembek kyk bubur …"
Mie Gacoan - Kenjeran,awmnr 260898,5,2 bulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Septa Ajeng,5,2 bulan lalu,ramah ramah
Mie Gacoan - Kenjeran,intan mitha,5,2 bulan lalu,pelayanan sangat cepat dan tempatnya nyaman sekali
Mie Gacoan - Kenjeran,Ama Lia,5,2 bulan lalu,enak
Mie Gacoan - Kenjeran,Dewi Defa,5,2 bulan lalu,Crewnya ramah semua
Mie Gacoan - Kenjeran,Mis Jihan,5,2 bulan lalu,Pelyanan cepat
Mie Gacoan - Kenjeran,Septy Rista1414,5,2 bulan lalu,Pelwyanan cepat
Mie Gacoan - Kenjeran,Virgogirl Srista,5,2 bulan lalu,Pelyanan cepat
Mie Gacoan - Kenjeran,zen crew,5,2 bulan lalu,cukup enak
Mie Gacoan - Kenjeran,Intan Septia Ningrum,5,2 bulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,Alfaruq Lesmana,5,2 bulan lalu,Pelwyanan cepat
Mie Gacoan - Kenjeran,lutfiyatul majidah,5,2 bulan lalu,Data yang bagus.
Mie Gacoan - Kenjeran,Arsya Febriana,5,2 bulan lalu,Semuanya enak 👌 …
Mie Gacoan - Kenjeran,Ahmad Fauzi,5,2 bulan lalu,Pelayanan cepat
Mie Gacoan - Kenjeran,20. M.Sabilal Alif,5,2 bulan lalu,menyesap
Mie Gacoan - Kenjeran,Titik Agustina,5,2 bulan lalu,Pelayanance cepat
